               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098174,            0.042711,            0.044492,           0.0069708,             0.72382,             0.03649,            0.011724,             0.07711,            0.031641,            0.038744,              0.0865,              0.0015,              0.0015
                   1,             0.07821,            0.044364,            0.038599,           0.0070905,             0.80944,             0.24893,             0.11406,             0.06239,            0.031913,            0.033644,             0.07209,           0.0030898,           0.0030898
                   2,            0.072808,             0.04395,            0.029824,             0.48923,             0.36225,             0.15315,            0.062763,            0.060108,            0.030574,            0.024499,            0.057669,            0.004669,            0.004669
                   3,            0.071162,            0.041423,            0.024654,             0.45371,              0.3243,             0.11862,            0.044457,            0.061327,             0.02697,            0.020932,            0.043238,           0.0062376,           0.0062376
                   4,            0.069875,            0.039095,            0.023235,             0.58443,             0.45397,             0.28368,              0.1232,            0.072284,            0.024902,            0.018702,            0.028796,           0.0077957,           0.0077957
                   5,            0.066446,            0.037498,            0.021803,             0.55737,             0.46249,             0.29022,             0.11562,            0.055358,            0.023359,            0.017466,            0.014343,           0.0093433,           0.0093433
                   6,            0.067546,            0.033599,            0.020088,             0.62728,             0.45609,              0.3937,             0.22789,            0.054547,            0.021569,            0.016503,            0.009802,            0.009802,            0.009802
                   7,             0.06451,            0.036595,            0.019932,               0.722,             0.54003,             0.45035,             0.21005,            0.063524,            0.019578,            0.016077,            0.009802,            0.009802,            0.009802
                   8,            0.062188,            0.033816,            0.018758,              0.5227,             0.54709,             0.47172,             0.22194,             0.04878,            0.019782,            0.016195,            0.009769,            0.009769,            0.009769
                   9,            0.058694,            0.035442,            0.017014,             0.65286,             0.69897,              0.5649,             0.30408,            0.046058,            0.019427,            0.014394,            0.009736,            0.009736,            0.009736
                  10,            0.057814,            0.033488,            0.016616,             0.63491,             0.53509,             0.41783,             0.19102,            0.053374,            0.016895,             0.01302,            0.009703,            0.009703,            0.009703
                  11,            0.055121,            0.029534,            0.016222,             0.64645,             0.73691,             0.65714,             0.29654,            0.049551,            0.016088,            0.012814,             0.00967,             0.00967,             0.00967
                  12,            0.054983,            0.031396,            0.015388,              0.5786,             0.73112,             0.62763,             0.30406,            0.046955,            0.016274,            0.011679,            0.009637,            0.009637,            0.009637
                  13,            0.052045,            0.028995,            0.015333,             0.49123,             0.68567,             0.58734,             0.29889,            0.049781,            0.017067,            0.010559,            0.009604,            0.009604,            0.009604
                  14,            0.048022,            0.030907,            0.014144,             0.87585,             0.76161,             0.79874,             0.39617,            0.043699,            0.015051,            0.010177,            0.009571,            0.009571,            0.009571
                  15,             0.04679,            0.030085,            0.014756,             0.73321,             0.79141,             0.78447,             0.44719,            0.040823,            0.016615,           0.0090939,            0.009538,            0.009538,            0.009538
                  16,            0.047691,            0.029475,            0.013007,             0.65277,             0.87201,             0.81028,             0.52516,            0.039002,            0.015806,           0.0078853,            0.009505,            0.009505,            0.009505
                  17,            0.047497,            0.028538,            0.012155,             0.71886,              0.8176,             0.80718,             0.53948,            0.043145,            0.015034,           0.0076782,            0.009472,            0.009472,            0.009472
                  18,            0.047744,            0.028496,            0.011692,             0.86994,             0.80171,             0.86552,             0.49624,            0.038051,            0.013367,           0.0072509,            0.009439,            0.009439,            0.009439
                  19,            0.046561,            0.026555,            0.012049,              0.8637,             0.80397,             0.88132,             0.52656,            0.035664,            0.013684,           0.0086266,            0.009406,            0.009406,            0.009406
                  20,            0.044967,            0.026506,            0.010937,             0.89552,             0.76982,             0.82373,             0.49585,            0.038106,            0.013697,           0.0069723,            0.009373,            0.009373,            0.009373
                  21,            0.043037,            0.026229,            0.010551,             0.84386,             0.81891,             0.87638,             0.54463,            0.034195,             0.01315,           0.0070409,             0.00934,             0.00934,             0.00934
                  22,            0.041978,            0.026633,             0.01069,             0.69466,              0.8691,              0.8782,             0.57052,            0.036693,            0.013665,           0.0071266,            0.009307,            0.009307,            0.009307
                  23,            0.042788,            0.026946,            0.011205,             0.88863,             0.73112,             0.89838,             0.61288,            0.031116,            0.014025,           0.0074876,            0.009274,            0.009274,            0.009274
                  24,            0.043513,              0.0261,            0.011342,             0.79474,             0.82884,             0.88898,             0.61602,             0.03259,             0.01387,           0.0074312,            0.009241,            0.009241,            0.009241
                  25,            0.041802,            0.025072,           0.0087119,             0.89109,             0.87854,             0.90591,             0.61524,            0.033079,            0.013771,           0.0064812,            0.009208,            0.009208,            0.009208
                  26,            0.041319,            0.025575,            0.010114,             0.83304,             0.91331,             0.93167,             0.65525,            0.032671,            0.012119,           0.0062024,            0.009175,            0.009175,            0.009175
                  27,            0.038951,            0.024974,            0.010585,             0.92537,             0.88655,             0.93537,             0.65117,            0.031175,            0.011133,           0.0067952,            0.009142,            0.009142,            0.009142
                  28,            0.039382,            0.024268,           0.0099755,               0.771,             0.95339,             0.89228,             0.65438,            0.026142,            0.011389,           0.0066817,            0.009109,            0.009109,            0.009109
                  29,            0.038706,            0.025174,           0.0098077,             0.78199,             0.91163,             0.90338,             0.66046,            0.030453,            0.011979,           0.0062034,            0.009076,            0.009076,            0.009076
                  30,             0.03831,            0.025487,           0.0090976,              0.8288,             0.96225,             0.92488,             0.68536,            0.028107,            0.011404,           0.0067356,            0.009043,            0.009043,            0.009043
                  31,            0.037918,             0.02455,           0.0089878,              0.7964,             0.94226,             0.92242,             0.68336,            0.025612,            0.010628,            0.006027,             0.00901,             0.00901,             0.00901
                  32,            0.039204,            0.023135,           0.0088115,             0.78119,             0.87539,             0.90019,             0.66483,            0.029298,            0.011698,           0.0063437,            0.008977,            0.008977,            0.008977
                  33,            0.036477,            0.023641,            0.010291,             0.77318,             0.94679,             0.92887,             0.69599,            0.029772,            0.010957,           0.0060875,            0.008944,            0.008944,            0.008944
                  34,            0.036657,            0.023951,           0.0089047,             0.83275,             0.88889,             0.90016,             0.66329,            0.026092,            0.011713,           0.0075635,            0.008911,            0.008911,            0.008911
                  35,            0.036862,            0.023477,           0.0094667,             0.79871,             0.98223,             0.93168,              0.6975,            0.024312,              0.0111,           0.0058284,            0.008878,            0.008878,            0.008878
                  36,            0.036257,            0.022798,            0.009427,             0.82777,             0.98197,             0.93066,             0.71194,            0.027831,            0.010152,           0.0057201,            0.008845,            0.008845,            0.008845
                  37,            0.037491,            0.023588,           0.0083224,             0.83481,             0.98619,             0.94349,             0.73465,            0.026466,             0.01074,           0.0076102,            0.008812,            0.008812,            0.008812
                  38,            0.035574,            0.023011,           0.0093917,             0.87809,             0.96302,             0.96067,             0.75163,            0.028983,             0.01128,           0.0070862,            0.008779,            0.008779,            0.008779
                  39,            0.034069,            0.021375,           0.0087679,             0.85985,             0.96998,             0.94672,             0.74041,            0.025883,           0.0093922,           0.0061274,            0.008746,            0.008746,            0.008746
                  40,            0.033872,            0.021566,            0.009039,             0.81877,             0.98353,             0.96368,              0.7364,            0.025363,           0.0098189,           0.0059525,            0.008713,            0.008713,            0.008713
                  41,            0.035239,            0.020881,           0.0097544,             0.84497,             0.96808,             0.96849,             0.74362,            0.027411,            0.009552,           0.0060075,             0.00868,             0.00868,             0.00868
                  42,            0.034027,            0.021053,           0.0092037,             0.87362,             0.97192,             0.97594,             0.74023,            0.023787,           0.0091445,           0.0057495,            0.008647,            0.008647,            0.008647
                  43,            0.034687,            0.021538,           0.0090626,                0.84,             0.93759,             0.95325,             0.73097,            0.023987,            0.010283,           0.0055319,            0.008614,            0.008614,            0.008614
                  44,             0.03403,            0.021929,            0.008067,             0.85414,             0.93242,             0.95701,             0.73944,            0.027956,           0.0097929,           0.0054606,            0.008581,            0.008581,            0.008581
                  45,            0.033558,            0.022126,           0.0086456,             0.95341,             0.88891,             0.97644,             0.76199,             0.02516,           0.0093783,           0.0054858,            0.008548,            0.008548,            0.008548
                  46,            0.034399,            0.021026,           0.0090273,             0.86652,             0.94725,             0.98084,             0.74552,            0.027853,           0.0098988,           0.0056734,            0.008515,            0.008515,            0.008515
                  47,            0.032825,            0.021372,           0.0089307,             0.83642,             0.99359,             0.98262,             0.78553,            0.021132,           0.0091667,           0.0057234,            0.008482,            0.008482,            0.008482
                  48,            0.033197,            0.022025,            0.008796,             0.95936,             0.95804,             0.98577,             0.76689,            0.023928,           0.0098842,           0.0067397,            0.008449,            0.008449,            0.008449
                  49,            0.032922,            0.019997,           0.0085767,             0.96904,             0.92494,             0.98177,             0.79155,             0.02441,           0.0083488,           0.0054902,            0.008416,            0.008416,            0.008416
                  50,            0.032856,            0.021602,           0.0088976,             0.89699,             0.97493,             0.97503,             0.76495,            0.023442,           0.0091123,           0.0054412,            0.008383,            0.008383,            0.008383
                  51,            0.032938,            0.021546,           0.0087073,               0.847,             0.96397,             0.96535,             0.76594,            0.022795,           0.0098676,           0.0055804,             0.00835,             0.00835,             0.00835
                  52,            0.031675,            0.020486,           0.0077872,             0.70647,             0.98838,             0.91078,             0.69872,            0.024274,            0.010402,           0.0052585,            0.008317,            0.008317,            0.008317
                  53,            0.032191,            0.021084,           0.0077169,             0.83824,             0.98838,             0.96223,             0.74465,            0.022349,           0.0094157,           0.0054922,            0.008284,            0.008284,            0.008284
                  54,            0.031871,            0.019945,           0.0073769,             0.86193,             0.98999,             0.97013,             0.77288,            0.022916,           0.0087838,           0.0057712,            0.008251,            0.008251,            0.008251
                  55,            0.031817,            0.019356,           0.0074704,             0.87487,             0.99132,             0.98138,             0.78336,            0.024781,           0.0089808,           0.0054187,            0.008218,            0.008218,            0.008218
                  56,            0.030961,            0.020856,           0.0074275,             0.86812,             0.99961,             0.97805,              0.7928,            0.021586,           0.0094018,           0.0055295,            0.008185,            0.008185,            0.008185
